u,g,r,i,z,class,redshift,redshift_err
16.46322,15.49256,15.1461,15.00817,14.83415,GALAXY,0.01264066,5.975708e-06
17.2373,15.65943,14.76368,14.32308,13.97611,GALAXY,0.08613902,1.735132e-05
19.26072,17.97265,17.27236,16.8894,16.6526,GALAXY,0.1032969,2.110899e-05
18.87348,17.84478,17.35933,17.11581,16.95407,GALAXY,0.07604571,9.803565e-06
18.88721,17.3464,16.52588,16.08977,15.78733,GALAXY,0.07576311,8.73617e-06
19.39423,17.51354,16.65162,16.22017,15.91311,GALAXY,0.07615651,1.622621e-05
18.81658,17.59161,17.05509,16.74705,16.50039,GALAXY,0.07625112,7.63503e-06
19.47871,17.62571,16.88785,16.44994,16.14513,GALAXY,0.04741794,9.136328e-06
18.08925,18.08443,17.95049,17.89585,17.38727,QSO,0.2960864,6.734031e-05
18.95429,17.82162,17.33243,17.04852,16.89649,GALAXY,0.0610222,8.573645e-06
17.03387,16.15782,15.87231,15.75213,15.62607,GALAXY,0.02204254,6.689614e-06
19.43332,18.25107,17.54479,17.19168,16.90235,GALAXY,0.1669027,9.142179e-06
15.92563,14.10306,13.32631,12.92891,12.6434,GALAXY,0.01239225,5.78229e-06
18.11729,18.00863,17.91395,17.61673,17.53657,QSO,1.773193,0.0001573612
19.24453,17.65741,16.82154,16.37322,16.03514,GALAXY,0.06156222,1.193324e-05
19.46036,18.21847,17.4004,16.97209,16.66433,GALAXY,0.1467433,1.228277e-05
19.55827,17.47205,16.32498,15.90119,15.54874,GALAXY,0.1463133,2.849493e-05
19.48758,17.33444,16.19166,15.71872,15.32569,GALAXY,0.1411865,3.396152e-05
19.38397,19.13563,18.99632,19.02868,19.08989,QSO,1.266033,0.0005053284
17.12203,16.11509,15.68797,15.4771,15.27649,GALAXY,0.02243036,9.163912e-06
19.09873,17.04296,15.86903,15.40799,15.02558,GALAXY,0.1451776,1.808849e-05
19.18373,17.54146,16.65462,16.21486,15.8602,GALAXY,0.09004688,1.268798e-05
19.4626,19.19436,19.25542,19.35035,19.18428,QSO,0.7354904,8.85342e-05
19.13953,18.01792,17.40275,17.08604,16.78118,GALAXY,0.08770674,1.109746e-05
19.1675,17.96583,17.41014,17.04618,16.81242,GALAXY,0.07187126,6.819547e-06
19.01553,17.24212,16.37196,15.90295,15.60863,QSO,0.07189922,1.756797e-05
19.28285,18.01314,17.35044,16.91509,16.67522,GALAXY,0.08709573,7.516201e-06
18.98921,17.15716,16.20133,15.6839,15.26758,GALAXY,0.08760963,1.345212e-05
17.79184,15.85183,14.87195,14.43841,14.10805,GALAXY,0.08862462,1.487801e-05
19.25311,17.27106,16.30346,15.87418,15.52764,GALAXY,0.08685836,1.239955e-05
18.87904,17.15843,16.51672,16.16726,15.92617,GALAXY,0.08609245,1.046176e-05
18.88535,17.62753,16.96154,16.54877,16.28524,GALAXY,0.0904146,6.329626e-06
