,objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class
1237,1237658203968831551,165.12948,47.696518,22.97857,20.97392,19.14232,18.78173,18.36208,-7.547635e-05,2.078951,1.733667,0.4459133,0.4197025,STAR
1238,1237648721205068185,121.41244,-0.15594646,17.98784,16.34818,15.7981,15.64338,15.53055,2.978841e-05,1.628096,0.5358257,0.2066689,0.06821346,STAR
1239,1237656242232952149,329.84798,12.582727,23.41689,22.44663,21.28457,20.09723,19.50461,-0.0002524837,0.8038692,1.136244,1.1791,0.5784931,STAR
1240,1237674650460291250,167.95317,0.1114648,20.04753,18.85498,18.13417,17.86052,17.57138,0.09955864,1.279062,0.6582775,0.372612,0.2524748,GALAXY
1241,1237663204922228820,18.390214,0.65714798,21.0317,19.76949,18.89608,18.44637,18.08142,0.1331444,1.245489,0.8764553,0.4289703,0.2912579,GALAXY
1242,1237669516367102170,357.68833,6.250777,20.77147,19.08596,18.24026,17.9135,17.49357,0.05769316,1.796127,0.8679333,0.3689823,0.3437481,GALAXY
1243,1237648721762517126,168.39131,0.33745541,20.60748,18.71522,17.86841,17.53391,17.2488,0.09699315,1.854357,0.9377251,0.405283,0.3421288,GALAXY
1244,1237663784204828837,17.050269,0.070613833,20.21873,18.37429,17.65802,17.41146,16.98828,0.04663941,1.805876,0.8065052,0.3888121,0.3046169,GALAXY
1245,1237678660351689331,3.33837460000001,3.9461208,24.8919,23.24003,22.41721,21.08028,20.22116,0.671902,1.344648,1.119476,1.345932,0.7117119,GALAXY
1246,1237667430083200587,117.39082,11.07133,22.89683,20.7552,19.69871,19.35048,18.76514,-5.85118e-05,2.245613,1.043118,0.3488598,0.6020164,STAR
1247,1237648720152494164,169.75802,-0.97912251,19.64759,18.92949,18.51055,18.29065,18.07626,0.04731026,0.9973221,0.4441242,0.2678337,0.1913338,GALAXY
