objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class
1237664854180561179,214.48669,34.463495,22.1447,21.90163,21.1827,20.24349,19.88432,0.7931086,0.3304291,0.7276154,0.9909649,0.4135303,GALAXY
1237664854180561084,214.40822,34.47462,23.98866,22.90352,21.88383,21.15415,20.6116,0.3193163,1.821299,0.994297,0.8299408,0.4899578,GALAXY
1237664673796456565,214.3972,34.34994,23.641,22.72485,21.69666,20.88903,20.37866,0.591292,1.722456,0.8396339,0.9701939,0.5106449,GALAXY
1237664853643691232,214.32779,34.197042,24.05542,24.16778,22.18514,21.11802,20.52375,0.6648948,1.298552,1.860836,1.162258,0.372427,GALAXY
1237664673796522645,214.48959,34.253792,23.10723,22.70878,20.84762,20.14584,19.86424,0.4776707,0.6351414,1.743982,0.7636414,0.320816,GALAXY
1237664853643690772,214.28655,34.083238,22.69112,23.00472,21.76106,20.95509,20.48101,0.6398664,-0.01535416,1.154318,0.7681408,0.5283833,GALAXY
1237664853643691273,214.31951,34.068947,24.69708,23.70639,22.41046,21.3137,20.4775,0.6641169,0.8269558,1.260502,1.250021,0.4177494,GALAXY
1237664853643756195,214.4336,34.03805,23.89735,22.34562,20.61992,19.85101,19.30491,0.4770291,2.804798,1.711235,0.8816261,0.4477711,GALAXY
1237664853643691060,214.36446,34.067921,23.3623,22.54073,20.99173,20.22859,19.58274,0.4651681,1.304691,1.589062,0.8126564,0.6601887,GALAXY
1237664853643755972,214.36327,33.994172,22.58081,21.85953,20.42727,19.7606,19.29424,0.4770855,0.9182625,1.447357,0.7348061,0.4272156,GALAXY
1237664673259651489,214.36108,33.941763,22.75337,22.81541,20.95719,20.19787,19.71196,0.4317162,0.2238731,1.763582,0.7981262,0.5513592,GALAXY
1237664673259586388,214.29896,33.908655,23.25328,23.43383,21.65084,20.55651,19.82945,0.5996314,0.2017384,1.809477,1.173716,0.6629429,GALAXY
1237664673259651859,214.38811,33.93664,25.48213,23.56373,21.90189,20.40574,19.95395,0.6622303,3.685171,1.730579,1.495754,0.4957352,GALAXY
1237664673259651570,214.39128,33.861531,25.03787,22.41751,20.77808,19.96622,19.59999,0.4566569,4.167154,1.595734,0.8213825,0.4536915,GALAXY
1237664673259651641,214.45104,33.905507,24.06359,21.88435,20.29998,19.55948,19.06536,0.4311612,3.039093,1.579079,0.7512894,0.5096684,GALAXY
1237664673259651983,214.43292,33.889573,23.95894,22.81967,20.8932,20.12902,19.7326,0.4300365,1.890564,1.640825,0.7711773,0.3724766,GALAXY
1237664853106885179,214.24811,33.630425,25.23234,22.73857,21.02399,20.1723,19.62781,0.5392788,3.659216,1.598392,0.9785004,0.4677467,GALAXY
1237664853643756428,214.50667,34.094512,23.89831,22.83654,21.13454,20.19308,19.69089,0.5909733,2.037189,1.611835,1.058758,0.4623756,GALAXY
1237664853106884965,214.26593,33.577358,24.64713,24.33644,22.17219,21.14252,20.28326,0.6514856,1.375517,2.970499,1.059072,0.588892,GALAXY
1237662684682060650,214.50209,33.920651,22.84582,23.07892,21.42387,20.71395,20.34107,0.4531718,0.2439594,1.690668,0.7636833,0.3942871,GALAXY
1237664853643821449,214.52833,33.956335,24.63556,22.66497,21.01359,20.29859,19.92757,0.4526512,2.193556,1.607956,0.767683,0.2784061,GALAXY
1237662684145189496,214.35256,33.543008,22.91301,22.18949,21.18636,20.51517,20.06531,0.5887104,1.242104,1.028896,0.7083721,0.4428902,GALAXY
1237664853106950825,214.47891,33.586402,23.72761,22.8229,20.93564,21.17381,20.79569,0.3962753,1.126057,1.759579,-0.09482765,0.289854,GALAXY
1237662661596086723,214.55701,35.054495,22.35915,22.08124,20.77409,19.99903,19.5413,0.5806131,0.3405552,1.289865,0.7752838,0.4096985,GALAXY
1237662223541141956,214.63845,34.862732,25.03169,22.99229,21.7165,20.59059,20.11266,0.5474991,3.23382,1.316936,1.082415,0.34758,GALAXY
1237662685755736712,214.59465,34.747067,23.92005,22.63283,21.17062,20.24868,19.85788,0.4903967,1.733263,1.496817,0.8182049,0.3955231,GALAXY
1237662223541141976,214.62687,34.82493,23.66054,22.53032,20.74121,19.97383,19.45669,0.4786378,1.362957,1.742134,0.7891979,0.4555035,GALAXY
1237662685755801679,214.67356,34.7396,24.68074,23.25983,21.3417,20.43864,20.05317,0.5487565,2.226236,2.201494,0.9070969,0.4685383,GALAXY
1237662661596086900,214.64925,35.067067,24.48534,23.38095,21.75264,20.86033,20.62533,0.419721,1.86298,1.975216,0.9026108,-0.2108154,GALAXY
1237664854180560962,214.55044,34.598313,25.22414,23.20245,21.59556,20.76093,20.57728,0.4563942,3.048212,1.513144,0.991457,0.1625462,GALAXY
1237662223541076718,214.56557,34.807984,24.06531,23.01384,21.32167,20.34125,19.93614,0.548272,1.459715,1.681082,1.009371,0.2621517,GALAXY
1237662685755801633,214.64001,34.662575,23.95385,23.13185,21.29936,20.12321,19.74584,0.6158339,1.139303,2.002481,1.154873,0.3933697,GALAXY
1237662685755736762,214.58731,34.697306,24.61434,22.7005,21.03505,20.29156,19.729,0.4864726,2.149109,1.6092,0.7972679,0.591444,GALAXY
1237664854180627128,214.60798,34.481905,25.70224,23.21195,21.29797,20.31172,19.89464,0.5895883,2.93792,1.919294,1.054352,0.3414612,GALAXY
1237664854180627243,214.6125,34.391964,24.98983,23.36254,21.70534,20.7604,20.06071,0.5920716,2.716785,1.665812,1.074011,0.5638084,GALAXY
1237664854180627489,214.56629,34.438122,23.74631,23.68963,21.94255,20.72108,20.00214,0.7465549,0.4832134,1.836313,1.266678,0.6719913,GALAXY
1237664673796522388,214.53648,34.32793,23.46195,22.51534,20.98178,20.23981,19.80192,0.4864796,1.370087,1.481426,0.8400955,0.4190292,GALAXY
1237664854180627234,214.67257,34.554987,23.64452,22.48874,20.84506,20.03247,19.53111,0.4866311,1.122587,1.569996,0.9131069,0.4214287,GALAXY
1237662685218996708,214.69024,34.242522,24.36916,22.81405,21.26546,20.41675,20.19464,0.4777309,2.343876,1.511742,0.8883877,0.3199329,GALAXY
1237664853643821261,214.6073,34.131285,23.22537,21.19402,19.54548,19.08383,18.68097,0.3368485,2.427355,1.648512,0.5538292,0.3084774,GALAXY
1237664853643821471,214.59034,34.103436,24.51509,22.7302,21.24369,20.28146,19.88176,0.5910878,3.186104,1.527431,1.005827,0.3160667,GALAXY
1237664853643755760,214.53812,34.076302,23.5309,22.57314,20.68778,19.98114,19.39792,0.4571958,2.226437,1.811592,0.7874794,0.4595013,GALAXY
1237664853643821563,214.56644,33.980264,23.45477,21.98678,20.34271,19.73989,19.19654,0.4279004,3.429703,1.673414,0.6817722,0.4935093,GALAXY
1237664853643821519,214.57569,34.031721,24.01662,22.58888,20.98204,20.21004,19.64692,0.4584365,2.384838,1.686569,0.8446655,0.443676,GALAXY
1237664853643821624,214.56729,33.942775,24.78268,23.27996,21.89742,20.5387,19.96478,0.674785,2.629391,1.353903,1.432749,0.4418812,GALAXY
1237662684682126192,214.56882,33.914438,22.89211,23.47608,21.99255,20.87782,20.32054,0.6601433,-0.5699596,1.617607,1.127682,0.6171913,GALAXY
1237664853643821318,214.67642,33.992072,23.19641,21.8358,20.17732,19.50619,19.02773,0.4258992,2.049938,1.687246,0.7116299,0.4362526,GALAXY
1237664853643821242,214.67335,33.932763,23.13336,22.89508,21.44038,20.71929,20.37674,0.4576223,0.9629135,1.577473,0.7783012,0.2621613,GALAXY
1237662684682125992,214.56751,33.722198,25.4917,23.26244,21.7317,20.67915,20.05159,0.6626698,2.947424,1.649931,1.17017,0.5056591,GALAXY
1237662684682126290,214.66447,33.822485,22.87011,23.44491,22.1191,21.00949,20.37124,0.6651769,-0.2493782,1.657682,1.139948,0.7063618,GALAXY
1237662684682191208,214.6883,33.806885,23.68546,22.55699,20.85607,19.9722,19.58661,0.4692686,1.200766,1.755703,0.8643818,0.4321632,GALAXY
1237664853107016010,214.59305,33.623717,23.74603,23.23803,22.08929,21.13583,20.99173,0.5879366,1.387987,1.212286,1.029539,0.2090397,GALAXY
1237664853107016101,214.64559,33.662338,23.35777,22.12794,21.13558,20.43658,19.97857,0.5868687,1.409832,1.013283,0.7276516,0.3480549,GALAXY
1237664853107016234,214.67513,33.606614,24.24916,22.76043,21.05198,20.32592,19.94354,0.4350878,1.583805,1.757025,0.7919807,0.3858566,GALAXY
1237664854717498211,214.73936,34.971202,25.12554,23.59919,21.38748,20.41615,20.02194,0.6233646,2.261322,2.174368,0.9980927,0.3606205,GALAXY
1237662661596152816,214.82567,34.986551,24.79165,23.46013,21.72211,20.41604,19.67632,0.6832168,2.610138,1.87405,1.256592,0.7165585,GALAXY
1237662223541142022,214.66702,34.869236,23.14538,24.20997,22.28727,21.18186,20.44907,0.6173956,-0.7478085,2.113453,1.092756,0.5018082,GALAXY
1237662223541207545,214.7947,34.839452,24.60833,22.83115,21.33983,20.16804,19.84775,0.579302,1.971704,1.529148,1.162163,0.3709869,GALAXY
1237662685755802111,214.70364,34.72813,22.84232,22.42549,20.72027,19.88564,19.4959,0.4835775,0.5850468,1.661045,0.8438511,0.450016,GALAXY
1237662223541207606,214.78712,34.762563,23.88845,23.12633,21.5964,20.63899,20.16794,0.4568022,0.8243465,1.599157,0.8077335,0.4176521,GALAXY
1237662685755802381,214.76693,34.626633,23.25202,23.12182,21.51178,20.58944,20.06545,0.548638,0.2899704,1.568655,0.9922123,0.5562973,GALAXY
1237662685755867939,214.79782,34.603481,22.54159,23.47119,21.79595,20.55417,20.07594,0.5917502,-0.7200508,1.773951,1.158211,0.4449234,GALAXY
1237664854180692705,214.83491,34.410412,23.65759,22.70139,21.23262,20.3256,19.82695,0.5472437,1.233868,1.42647,0.9419765,0.4962807,GALAXY
1237662685219062220,214.84819,34.237704,23.34365,22.62487,21.07072,20.04334,19.63656,0.5603644,0.4006653,1.555267,0.978714,0.4733105,GALAXY
1237662685219062304,214.85717,34.17716,22.65474,22.69671,21.71357,20.68335,20.64278,0.5969216,0.07564163,1.011459,0.9757233,0.2840557,GALAXY
1237662685219062375,214.8816,34.159944,23.70837,22.45172,20.53409,19.75522,19.41503,0.3535403,2.289436,1.922052,0.787487,0.4207916,GALAXY
1237664853643821924,214.71789,34.109583,23.66677,23.21017,21.73965,20.63516,19.90335,0.5908414,2.538355,1.607813,1.095686,0.5971832,GALAXY
1237664853643822332,214.73872,34.099422,23.66403,23.63769,21.74878,20.5753,19.96965,0.6419005,0.4299355,2.245975,1.212843,0.3786659,GALAXY
1237664853643886740,214.77291,33.924136,25.0527,22.44212,20.8591,19.82299,19.35104,0.5874565,3.49711,1.690361,1.091198,0.4543381,GALAXY
1237664853643886777,214.82379,33.978383,24.42101,23.48381,22.07325,21.06289,20.59358,0.597968,1.654579,1.919918,0.9929047,0.5106106,GALAXY
1237664853643822056,214.69697,33.964092,23.12094,23.13095,21.84039,20.97805,20.31954,0.5872022,0.9917641,1.372108,0.8853016,0.6274796,GALAXY
1237662684682191194,214.70749,33.875196,24.70795,22.42774,20.81553,20.0926,19.66375,0.3651876,4.890194,1.56031,0.7701168,0.4289246,GALAXY
1237664853643887496,214.80646,33.885951,24.15747,23.09953,21.66212,20.7358,20.11652,0.5877393,2.715862,1.403521,0.8999825,0.5920887,GALAXY
1237662684682191461,214.80295,33.868466,23.09493,22.58931,20.80268,19.58277,19.18385,0.5906367,0.8295937,1.818678,1.258665,0.4680443,GALAXY
1237662684682191708,214.70548,33.738905,23.58378,23.54582,21.47969,20.44972,20.05672,0.58968,0.1430302,2.058762,1.078333,0.4217339,GALAXY
1237662684682191505,214.79228,33.791135,25.02644,22.1713,20.4503,19.65749,19.14125,0.4552883,3.659397,1.712826,0.7680855,0.5762577,GALAXY
1237662684682191538,214.79784,33.764417,23.10214,23.05327,21.17267,20.40936,19.9626,0.4210241,1.497913,1.972059,0.613018,0.4781685,GALAXY
1237664853107016633,214.70709,33.600993,25.44361,23.97293,22.7313,21.65877,20.98472,0.616091,3.410463,1.715776,1.173765,0.4322395,GALAXY
1237662684682256788,214.85635,33.690183,25.35817,23.3389,21.94159,20.73441,20.03871,0.6190526,1.943678,1.546129,1.370844,0.6801968,GALAXY
